order_id,customer_id,order_placed_at,order_status,total_amount_paid,payment_finalized_date,customer_first_name,customer_last_name,transaction_seq,customer_sales_seq,nvsr,running_clv,fdos
46,6,2018-02-19,completed,8.00,2018-02-19,Sarah,R.,46,1,new,8.00,2018-02-19
47,50,2018-02-20,completed,22.00,2018-02-20,Billy,L.,47,2,return,47.00,2018-01-05
48,27,2018-02-21,completed,3.00,2018-02-21,Benjamin,B.,48,1,new,3.00,2018-02-21
49,35,2018-02-21,completed,15.00,2018-02-21,Sara,T.,49,1,new,15.00,2018-02-21
5,64,2018-01-05,completed,17.00,2018-01-05,David,C.,5,1,new,17.00,2018-01-05
50,51,2018-02-23,completed,26.00,2018-02-23,Howard,R.,50,3,return,83.00,2018-01-28
51,71,2018-02-24,completed,30.00,2018-02-24,Gerald,C.,51,3,return,44.00,2018-01-18
52,54,2018-02-25,return_pending,15.00,2018-02-25,Rose,M.,52,3,return,27.00,2018-01-07
53,34,2018-02-26,completed,3.00,2018-02-26,Jennifer,S.,53,1,new,3.00,2018-02-26
54,54,2018-02-26,completed,29.00,2018-02-26,Rose,M.,54,4,return,56.00,2018-01-07
55,18,2018-02-27,completed,29.00,2018-02-27,Johnny,K.,55,1,new,29.00,2018-02-27
56,79,2018-02-28,completed,4.00,2018-02-28,Jack,R.,56,1,new,4.00,2018-02-28
57,93,2018-03-01,completed,2.00,2018-03-01,Frances,R.,57,1,new,2.00,2018-03-01
58,22,2018-03-01,completed,24.00,2018-03-01,Sean,H.,58,3,return,52.00,2018-01-26
59,30,2018-03-02,completed,28.00,2018-03-02,Christina,W.,59,1,new,28.00,2018-03-02
6,54,2018-01-07,completed,6.00,2018-01-07,Rose,M.,6,1,new,6.00,2018-01-07
60,12,2018-03-03,completed,4.00,2018-03-03,Amy,D.,60,1,new,4.00,2018-03-03
61,63,2018-03-03,completed,16.00,2018-03-03,Edward,G.,61,1,new,16.00,2018-03-03
62,57,2018-03-05,completed,14.00,2018-03-05,Paul,W.,62,2,return,26.00,2018-01-31
63,70,2018-03-06,completed,29.00,2018-03-06,Helen,F.,63,1,new,29.00,2018-03-06
64,13,2018-03-07,completed,26.00,2018-03-07,Kathleen,M.,64,1,new,26.00,2018-03-07
65,26,2018-03-08,completed,0.00,2018-03-08,Aaron,R.,65,2,return,8.00,2018-02-11
66,36,2018-03-10,completed,28.00,2018-03-10,Harold,O.,66,1,new,28.00,2018-03-10
67,79,2018-03-11,completed,23.00,2018-03-11,Jack,R.,67,2,return,27.00,2018-02-28
68,53,2018-03-11,completed,16.00,2018-03-11,Anne,B.,68,2,return,39.00,2018-01-12
69,3,2018-03-11,completed,19.00,2018-03-11,Kathleen,P.,69,3,return,65.00,2018-01-02
7,88,2018-01-09,completed,16.00,2018-01-09,Adam,T.,7,1,new,16.00,2018-01-09
70,8,2018-03-12,completed,26.00,2018-03-12,Frank,R.,70,2,return,45.00,2018-01-29
71,42,2018-03-12,shipped,5.00,2018-03-12,Diana,S.,71,2,return,27.00,2018-02-04
72,30,2018-03-14,shipped,29.00,2018-03-14,Christina,W.,72,2,return,57.00,2018-03-02
73,19,2018-03-16,completed,3.00,2018-03-16,Virginia,F.,73,1,new,3.00,2018-03-16
74,9,2018-03-17,shipped,30.00,2018-03-17,Jennifer,F.,74,1,new,30.00,2018-03-17
75,69,2018-03-18,completed,19.00,2018-03-18,Janet,P.,75,2,return,32.00,2018-02-02
76,25,2018-03-20,completed,2.00,2018-03-20,Victor,H.,76,2,return,24.00,2018-01-17
77,35,2018-03-21,shipped,19.00,2018-03-21,Sara,T.,77,2,return,34.00,2018-02-21
78,90,2018-03-23,shipped,26.00,2018-03-23,Paul,P.,78,1,new,26.00,2018-03-23
79,52,2018-03-23,shipped,27.00,2018-03-23,Laura,F.,79,1,new,27.00,2018-03-23
8,2,2018-01-11,returned,23.00,2018-01-11,Shawn,M.,8,1,new,23.00,2018-01-11
80,11,2018-03-23,shipped,3.00,2018-03-23,Fred,S.,80,1,new,3.00,2018-03-23
81,76,2018-03-23,shipped,2.00,2018-03-23,Barbara,W.,81,1,new,2.00,2018-03-23
82,46,2018-03-24,shipped,8.00,2018-03-24,Norma,C.,82,1,new,8.00,2018-03-24
83,54,2018-03-24,shipped,1.00,2018-03-24,Rose,M.,83,5,return,57.00,2018-01-07
84,70,2018-03-26,placed,25.00,2018-03-26,Helen,F.,84,2,return,54.00,2018-03-06
85,47,2018-03-26,shipped,17.00,2018-03-26,Marie,P.,85,1,new,17.00,2018-03-26
86,68,2018-03-26,placed,23.00,2018-03-26,Jesse,E.,86,1,new,23.00,2018-03-26
87,46,2018-03-27,placed,56.00,2018-03-27,Norma,C.,87,2,return,64.00,2018-03-24
88,91,2018-03-27,shipped,29.00,2018-03-27,Todd,W.,88,1,new,29.00,2018-03-27
89,21,2018-03-28,placed,22.00,2018-03-28,Willie,H.,89,1,new,22.00,2018-03-28
9,53,2018-01-12,completed,23.00,2018-01-12,Anne,B.,9,1,new,23.00,2018-01-12
90,66,2018-03-30,shipped,2.00,2018-03-30,Adam,W.,90,2,return,13.00,2018-02-17
91,47,2018-03-31,placed,19.00,2018-03-31,Marie,P.,91,2,return,36.00,2018-03-26
92,84,2018-04-02,placed,17.00,2018-04-02,Christina,R.,92,2,return,36.00,2018-01-17
93,66,2018-04-03,placed,26.00,2018-04-03,Adam,W.,93,3,return,39.00,2018-02-17
94,63,2018-04-03,placed,7.00,2018-04-03,Edward,G.,94,2,return,23.00,2018-03-03
95,27,2018-04-04,placed,24.00,2018-04-04,Benjamin,B.,95,2,return,27.00,2018-02-21
96,90,2018-04-06,placed,17.00,2018-04-06,Paul,P.,96,2,return,43.00,2018-03-23
97,89,2018-04-07,placed,14.00,2018-04-07,Margaret,J.,97,1,new,14.00,2018-04-07
98,41,2018-04-07,placed,10.00,2018-04-07,Gloria,C.,98,1,new,10.00,2018-04-07
99,85,2018-04-09,placed,24.00,2018-04-09,Theresa,M.,99,2,return,33.00,2018-02-10
